code,name,chapter_key,chapter,sex_restriction
A207,PESTE SEPTICÉMICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A208,OTRAS FORMAS DE PESTE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A209,"PESTE, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A210,TULAREMIA ULCEROGLANDULAR,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A211,TULAREMIA OCULOGLANDULAR,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A212,TULAREMIA PULMONAR,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A213,TULAREMIA GASTROINTESTINAL,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A217,TULAREMIA GENERALIZADA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A218,OTRAS FORMAS DE TULAREMIA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A219,"TULAREMIA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A220,CARBUNCO CUTÁNEO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A221,CARBUNCO PULMONAR,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A222,CARBUNCO GASTROINTESTINAL,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A227,CARBUNCO SÉPTICO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A228,OTRAS FORMAS DE CARBUNCO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A229,"CARBUNCO, NO ESPECIFICADO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A238,OTRAS BRUCELOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A239,"BRUCELOSIS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A240,MUERMO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A241,MELIOIDOSIS AGUDA Y FULMINANTE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A242,MELIOIDOSIS SUBAGUDA Y CRÓNICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A243,OTRAS MELIOIDOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A244,"MELIOIDOSIS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A250,ESPIRILOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A251,ESTREPTOBACILOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A260,ERISIPELOIDE CUTÁNEO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A267,SEPSIS POR ERYSIPELOTHRIX,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A268,OTRAS FORMAS DE ERISIPELOIDE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A269,"ERISIPELOIDE, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A270,LEPTOSPIROSIS ICTEROHEMORRÁGICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A278,OTRAS FORMAS DE LEPTOSPIROSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A279,"LEPTOSPIROSIS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
